title, description, features, location, date_listed,price
Sri manohar dham colony gwaliyar rod rohata Agra navbharat l ke pechhe,Rawat property,2 Bds - 2 Ba - 1100 ft2,"Rohta, Agra, Uttar Pradesh, India",2022-06-16T16:49:31+0000,"₹ 35,00,000"
"3 BHK House near Thankalam, Kothamangalam","300 mtrs from Thankalam, Kothamangalam  9.5 Cents of land with compound wall 3 BHK attached bathrooms with Sitting Room and Separate Dining Fully furnished Kitchen with work area and store room and additional bathroom Own Borewell + Municipality water connection Excellent Housing Colony  Newly and Fully renovated No Brokers, No Commission",3 Bds - 4 Ba - 2300 ft2,"Thankalam, Kothamangalam, Kerala, India",2022-05-25T11:41:24+0000,"₹ 82,00,000"
Plot size15*50 -85lac /3bhk newly duplex for sale near kanadia road.,3bhk -newly fresh duplex for sale at  kanadia road near bengali square indore. Plot size 15 by 50 /north facing.,3 Bds - 3 Ba - 1620 ft2,"Bengali Square, Indore, Madhya Pradesh, India",2022-06-20T07:12:33+0000,"₹ 85,00,000"
3bhk flat for sale.,3bhk flat for sale Kharangajhar.,3 Bds - 2 Ba - 1200 ft2,"Telco, Jamshedpur, Jharkhand, India",2022-07-24T15:59:08+0000,"₹ 47,00,000"
Puzhakkal Ambakkad near St .Marys Church 3 cent 1150sqft,"Puzhakkal Ambakkad near St .Marys ambakkad Church 4 bedroom attached bathrooms car parking available semi furnished 3 cent near shoba city 1km,amala hospital 3km,kendriya vidhyalaya central school 1km,puranattukara boys and girls HSS 1km, Sanskrit central college 1.5km,health center adat FSH 1km,trissur town 7km, ambakkad UP school 500m",3 Bds - 3 Ba - 1150 ft2,"Puzhakkal Padom, Thrissur, Kerala, India",2022-07-24T15:59:07+0000,"₹ 40,00,000"
NEW BEAUTIFUL HOUSE FOR SALE,"NEW BEAUTIFUL HOUSE FOR SALE  POONJAR NELLICKACHAL NADACKAL ROAD SIDE  8 CENT 1200 Sq. F  WITH ROOFING • OPEN WELL  • BANK LOAN FACILITY AVAILABLE • വെള്ളം കയറുകയില്ലാത്ത സ്ഥലം • PRICE : 45,00,000",3 Bds - 2 Ba - 1200 ft2,"Kizhakkekkara, Erattupetta, Kerala, India",2022-07-24T15:58:14+0000,"₹ 45,00,000"
Biggest Township at affordable price Dream house,Dream house gated community Ready to move,2 Bds - 2 Ba - 1299 ft2,"Faizabad Road, Lucknow, Uttar Pradesh, India",2022-07-24T15:58:04+0000,"₹ 45,00,000"
1BKH HOUSE,For sell house kandul road Raipur chhattisgarh boriya khurd,3 Bds - 2 Ba - 1000 ft2,"RDA Colony Near Gokul Nagar, Raipur, Chhattisgarh, India",2022-07-24T15:58:01+0000,"₹ 25,00,000"
Flat Apartment - 1st floor - 2bedroom - 2 bathroom,"2 Bedroom , 2 Bathroom with balcony and dinning , Apartment Age 10 month ...New",2 Bds - 2 Ba - 773 ft2,"Subhash Nagar, Kolkata, West Bengal, India",2022-07-24T15:57:29+0000,"₹ 25,00,000"
2 BHK Semi furnished flat available for sale,"2 BHK Semi Furnished Flat available for sale in heart of city.  Near Bus Stand and Bhaktinagar Railway Station.  Price 32,00,000₹/-.  Negotiable.",2 Bds - 2 Ba - 900 ft2,"Bhakti Nagar, Rajkot, Gujarat, India",2022-07-24T15:56:05+0000,"₹ 32,00,000"
